half-seas-over.s.01,British informal for `intoxicated'
orthodox_judaism.n.01,Jews who strictly observe the Mosaic law as interpreted in the Talmud
conservative_judaism.n.01,Jews who keep some of the requirements of the Mosaic law but allow for adaptation of other requirements (as some of the dietary laws) to fit modern circumstances
vaishnavism.n.01,Hindu sect worshiping of Vishnu
fire_brigade.n.02,British name for a fire department
foggy_bottom.n.01,"United States Department of State, which is housed in a building in a low-lying area of Washington near the Potomac River"
valois.n.01,French royal house from 1328 to 1589
laurel_and_hardy.n.01,United States slapstick comedy duo who made many films together
mujahedeen_khalq.n.01,Iranian guerillas based in Iraq
gendarmerie.n.01,French police force; a group of gendarmes or gendarmes collectively
sa.n.01,Nazi militia created by Hitler in 1921 that helped him to power but was eclipsed by the SS after 1943
koinonia.n.01,Christian fellowship or communion with God or with fellow Christians; said in particular of the early Christian community
freemasonry.n.02,Freemasons collectively
junior_school.n.01,British school for children aged 7-11
infant_school.n.01,British school for children aged 5-7
madrasa.n.01,Muslim schools in Bangladesh and Pakistan
canadian_security_intelligence_service.n.01,Canada's main foreign intelligence agency that gathers and analyzes information to provide security intelligence for the Canadian government
communications_security_establishment.n.01,Canadian agency that gathers communications intelligence and assist law enforcement and security agencies
foreign_intelligence_service.n.01,"Russia's intelligence service responsible for foreign operations, intelligence-gathering and analysis, and the exchange of intelligence information; collaborates with other countries to oppose proliferation of weapons of mass destruction, terrorism and organized crime"
international_relations_and_security_network.n.01,Switzerland's information network for security and defense studies and for peace and conflict research and for international relations
sayeret_matkal.n.01,Israel's elite secret commando unit responsible for counterterrorist and top secret intelligence gathering and hostage rescue missions
bolshevism.n.01,Soviet communism
national_guard.n.01,United States military reserves recruited by the states and equipped by the federal government; subject to call by either
territorial_army.n.01,British unit of nonprofessional soldiers organized for the defense of Great Britain
religious_right.n.01,"United States political faction that advocates social and political conservativism, school prayer, and federal aid for religious groups and schools"
building_society.n.01,British equivalent of United States savings and loan association
hudud.n.01,Islamic laws stating the limits ordained by Allah and including the deterrent punishments for serious crimes
lake_poets.n.01,English poets at the beginning of the 19th century who lived in the Lake District and were inspired by it
jewry.n.01,Jews collectively
abkhaz.n.03,Circassian people living east of the Black Sea
north_temperate_zone.n.01,Temperate Zone between the Arctic Circle and the Tropic of Cancer
south_temperate_zone.n.01,Temperate Zone between the Antarctic Circle and the Tropic of Capricorn
mesoamerica.n.01,Mexico and Central America
ethiopia.n.01,Ethiopia is a republic in northeastern Africa on the Red Sea; formerly called Abyssinia
mashriq.n.01,Arabic name for the Middle East
israel.n.01,Jewish republic in southwestern Asia at eastern end of Mediterranean; formerly part of Palestine
italian_region.n.01,Italy is divided into 20 regions for administrative purposes
canadian_province.n.01,Canada is divided into 12 provinces for administrative purposes
australasia.n.01,"Australia, New Zealand, and neighboring islands in the South Pacific"
british_isles.n.01,Great Britain and Ireland and adjacent islands in the north Atlantic
al_aqabah.n.01,Jordan's port; located in southwestern Jordan on the Gulf of Aqaba
putrajaya.n.01,Malaysia's sparkling new capital
new_zealand.n.02,North Island and South Island and adjacent small islands in the South Pacific
machu_picchu.n.01,Inca fortress city in the Andes in Peru discovered in 1911; it may have been built in the 15th century
baltic_state.n.01,European countries bordering the Baltic Sea
united_states.n.01,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
jacksonville.n.01,Florida's largest city; a port and important commercial center in northeastern Florida
west_point.n.01,United States Army installation on the west bank of Hudson river to the north of New York City; site of United States Military Academy
america.n.02,North America and South America and Central America
loch.n.02,Scottish word for a lake
lough.n.02,Irish word for a lake
grim_reaper.n.01,Death personified as an old man or a skeleton with a scythe
angus_og.n.01,Celtic god of love and beauty; patron deity of young men and women
arawn.n.01,Celtic deity who was the lord of Annwfn (the other world or the land of fairies)
arianrhod.n.01,Celtic goddess famous for her beauty; mother of Dylan
boann.n.01,Celtic goddess; mother of Angus Og
brigit.n.01,Celtic goddess of fire and fertility and agriculture and household arts and wisdom; later associated with Saint Bridget
danu.n.01,Celtic goddess who was the mother of the Tuatha De Danann; identified with the Welsh Don
don.n.04,Celtic goddess; mother of Gwydion and Arianrhod; corresponds to Irish Danu
dylan.n.02,Celtic god of the waves; son of Arianrhod
gwydion.n.01,Celtic sky god; a magician; giver of arts and civilization
gwyn.n.01,Celtic underworld god
llyr.n.01,Celtic deity who was the father of Manawydan; corresponds to Irish Lir
manannan.n.01,Celtic god of the sea; son of Ler
manawydan.n.01,Celtic sea god; son of Llyr
morrigan.n.01,Celtic war goddess
amen-ra.n.01,Egyptian sun god; supreme god of the universe in whom Amen and Ra were merged; principal deity during Theban supremacy
anubis.n.01,Egyptian god of tombs and ruler of the underworld; usually depicted as a man with the head of a jackal
geb.n.01,Egyptian god of the earth; father of Osiris and Isis
horus.n.01,Egyptian solar god with the head of a falcon; the son of Osiris and Isis
isis.n.01,Egyptian goddess of fertility; daughter of Geb; sister and wife of Osiris
khepera.n.01,Egyptian god of the morning sun; creator
nephthys.n.01,Egyptian goddess associated with ritual of the dead; sister of Geb and Nut; wife of Set
nut.n.02,Egyptian goddess of the sky
osiris.n.01,Egyptian god of the underworld and judge of the dead; husband and brother of Isis; father of Horus
thoth.n.01,Egyptian Moon deity with the head of an ibis; god of wisdom and learning and the arts; scribe of the gods
adad.n.01,Babylonian god of storms and wind
antum.n.01,Babylonian consort of Anu
anu.n.01,Babylonian god of the sky; one of the supreme triad including Bel and Ea
ishtar.n.01,Babylonian and Assyrian goddess of love and fertility and war; counterpart to the Phoenician Astarte
bel.n.02,Babylonian god of the earth; one of the supreme triad including Anu and Ea; earlier identified with En-lil
dumuzi.n.01,Sumerian and Babylonian god of pastures and vegetation; consort of Inanna
kishar.n.01,Babylonian consort of Anshar; in Sumerian the name signifies `the totality of the lower world'
nabu.n.01,Babylonian god of wisdom and agriculture and patron of scribes and schools
ningirsu.n.01,Babylonian god in older pantheon: god of war and agriculture
bhaga.n.01,Hindu god of wealth and love
bhumi_devi.n.01,Hindu earth goddess; one of the two wives of Vishnu
devi.n.01,Hindu mother goddess; supreme power in the universe; wife or embodiment of the female energy of Siva having both beneficent and malevolent forms or aspects
durga.n.01,Hindu goddess of war; a malevolent aspect of Devi
dyaus.n.01,Hindu god of the sky
ganesh.n.01,Hindu god of wisdom or prophecy; the god who removes obstacles
kama.n.01,Hindu god of love and erotic desire; opposite of Mara
mara.n.01,Hindu god of death; opposite of Kama
kartikeya.n.01,Hindu god of bravery
lakshmi.n.01,Hindu goddess of fortune and prosperity
mitra.n.01,Hindu god of friendship and alliances; usually invoked together with Varuna as a supporter of heaven and earth
parjanya.n.01,Hindu god of rain; sometimes identified with Indra
prajapati.n.01,Hindu god personifying a creative force; equivalent to Brahma
sarasvati.n.01,Hindu goddess of learning and the arts
skanda.n.01,Hindu god of war
ushas.n.01,Hindu goddess of dawn; daughter of the sky and sister of the night
vajra.n.01,Indra's thunderbolt
vayu.n.01,Hindu wind god
yama.n.01,Hindu god of death and lord of the underworld
bodhisattva.n.01,Buddhist worthy of nirvana who postpones it to help others
wen_ch'ang.n.01,Chinese god of literature
kwannon.n.01,Japanese counterpart of Chinese Kuan Yin
father.n.06,God when considered as the first person in the Trinity
messiah.n.02,Jesus Christ; considered by Christians to be the promised deliverer
allah.n.01,Muslim name for the one and only God
nox.n.01,Roman goddess of night; daughter of Erebus; counterpart of Greek Nyx
agdistis.n.01,Asiatic epithet for Rhea or Cybele
bond.n.09,British secret operative 007 in novels by Ian Fleming
mr._moto.n.01,Japanese sleuth created by John Marquand
conservative_jew.n.01,Jew who keeps some requirements of Mosaic law but adapts others to suit modern circumstances
baas.n.01,South African term for `boss'
cheops.n.01,Egyptian Pharaoh of the 27th century BC who commissioned the Great Pyramid at Giza
cobber.n.01,Australian term for a pal
compere.n.01,British term for someone who introduces television acts or cabarets etc
redcoat.n.01,British soldier; so-called because of his red coat (especially during the American Revolution)
judith.n.01,Jewish heroine in one of the books of the Apocrypha; she saved her people by decapitating the Assyrian general Holofernes
king's_counsel.n.01,Counsel to the Crown when the British monarch is a king
orthodox_jew.n.01,Jew who practices strict observance of Mosaic law
queen's_counsel.n.01,Counsel to the Crown when the British monarch is a queen
rainmaker.n.02,American Indian medicine man who attempt to make it rain
shaheed.n.01,Arabic term for holy martyrs; applied by Palestinians to suicide bombers
aalto.n.01,Finnish architect and designer of furniture (1898-1976)
aaron.n.01,United States professional baseball player who hit more home runs than Babe Ruth (born in 1934)
abel.n.01,Norwegian mathematician (1802-1829)
abelard.n.01,French philosopher and theologian; lover of Heloise (1079-1142)
acheson.n.01,United States statesman who promoted the Marshall Plan and helped establish NATO (1893-1971)
adam.n.02,Scottish architect who designed many public buildings in England and Scotland (1728-1792)
adams.n.01,American Revolutionary leader and patriot; an organizer of the Boston Tea Party and signer of the Declaration of Independence (1722-1803)
